,edit_history_tweet_ids,id,text
0,['1597368698532425728'],1597368698532425728,Djmebe is life ❤️ #music https://t.co/SdicWxHoRD
1,['1597368693058478082'],1597368693058478082,"check out my FREE onlyfans, https://t.co/PJutTvdtBK #sexy #pussy #tattoos #oldermenonly #work #friday #music #idontcareanymore #thisjobisboring #fml #hustle #cheesecake #cake #thatbootytho #wyo #dancer #sunshine #girls #men #fun #subscribe #lifeoftheparty #smoke #hunting #china https://t.co/uT5tpDxZAU"
2,['1597368679984832512'],1597368679984832512,"@lmasinaa Real #music to relate to. Camo K do it 4 For the people! 🌬🔥💨
#spotify #applemusic 

https://t.co/XFhfcnnPF2

https://t.co/oUSAZreSa6 https://t.co/fWfyTGzGrA"
3,['1597368653070188546'],1597368653070188546,"SUMMER HOUSE MIX 2019 MINIMAL &amp; TECHNO SUNSET SET 
 https://t.co/FcPwXsJYgH
__
#DJSets  #djset #technostream #technolivestream #house #dj #djs #culture #streaming #streams #live  #music #dj #party #housemusic #technomusic #livestream #acid #techno"
4,['1597368648133275649'],1597368648133275649,☀ALL☀WHO☀RETWEETS☀WANT☀NEW☀FOLLOWERS☀ #TeamFollowBack #TFBJP #OPENFOLLOW #Mustfollow #MUSIC #RT ♥#THF ♥#Followers
5,['1597368642735378432'],1597368642735378432,The Shrubs - No More Bad Days (RadioBarbwires) Premier independent #Artists HD #Music at https://t.co/d8MY6bp6Th
6,['1597368630659801088'],1597368630659801088,"""The Loneliest"" is the last release of mine.

The cover of last Måneskin's single, arranged for solo piano. Available on Spotify.

#music #Musica #maneskin #pianosolo #spotify

https://t.co/3npVXrMTD4"
7,['1597368630198636545'],1597368630198636545,"Now Playing, Elton Noble + Band — All God's Children from Train Don't Leave Me #music #"
8,['1597368600574283778'],1597368600574283778,"Now Playing: Zā Lä Thü - The Opening of the Portal 
Listen to us on https://t.co/vbJ0PQaKsB
Or Find us on TuneIn Search ""Dark Star Radio"" 
#online #radio #tunein #nowplaying #music"
9,['1597368593754513408'],1597368593754513408,"check out my FREE onlyfans, https://t.co/PJutTvvCPS #sexy #pussy #tattoos #oldermenonly #work #friday #music #idontcareanymore #thisjobisboring #fml #hustle #cheesecake #cake #thatbootytho #wyo #dancer #sunshine #girls #men #fun #subscribe #lifeoftheparty #smoke #hunting #china https://t.co/tNG3uCwQQ0"
